Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade
419761;1,95419E+13;18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios
421545;2,287E+13;2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;;Odontologia de Grupo
421421;2,74525E+13;2CARE OPERADORA DE SAÚDE LTDA.;;Medicina de Grupo
422908;4,17888E+13;3S ADMINISTRADORA DE BENEFICIOS LTDA;3S ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios
418030;1,31389E+13;A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.;A.P.S. SAÚDE.;Administradora de Benefícios
314668;1,75058E+13;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SAÚDE;Autogestão
419621;1,76875E+13;ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios
424242;5,62989E+13;ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.;ABRANGE SAÚDE;Administradora de Benefícios
418901;1,04583E+13;AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA;AD SALUTE;Administradora de Benefícios
421553;2,83158E+13;ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.;ADM LIFE;Administradora de Benefícios
416932;7,86783E+12;ADMSERV BENEFÍCIOS E SERVIÇOS LTDA;GÉIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios
422347;3,72015E+13;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benefícios
335657;2,04181E+12;ADVANCE PLANOS DE SAÚDE LTDA;;Medicina de Grupo
413283;3,69437E+12;AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;;Odontologia de Grupo
419907;2,28916E+13;AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA;AFFIANCE LIFE BENEFÍCIOS;Administradora de Benefícios
417424;1,11585E+13;AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA;AFFIX BENEFÍCIOS;Administradora de Benefícios
368920;2,03205E+13;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;Autogestão
